id,product,category,quantity,unit_price,total,region,salesperson,date
1,Widget Pro,Hardware,50,299.99,14999.50,West,Alice Johnson,2026-01-05
2,SSD 1TB,Storage,120,89.99,10798.80,East,Bob Williams,2026-01-07
3,Monitor 4K,Display,30,549.99,16499.70,West,Carol Smith,2026-01-08
4,USB Hub,Accessories,200,24.99,4998.00,South,David Brown,2026-01-09
5,Keyboard Mech,Input,75,149.99,11249.25,North,Eve Davis,2026-01-10
6,Mouse Wireless,Input,160,49.99,7998.40,East,Frank Wilson,2026-01-12
7,Laptop Stand,Accessories,90,79.99,7199.10,West,Grace Miller,2026-01-14
8,Webcam HD,Video,110,129.99,14298.90,South,Henry Moore,2026-01-15
9,Headset Pro,Audio,65,199.99,12999.35,North,Iris Taylor,2026-01-17
10,Dock Station,Connectivity,45,349.99,15749.55,East,Jack Anderson,2026-01-19
11,Widget Pro,Hardware,85,299.99,25499.15,North,Alice Johnson,2026-02-02
12,SSD 512GB,Storage,200,54.99,10998.00,West,Carol Smith,2026-02-04
13,Monitor 1440p,Display,55,399.99,21999.45,East,Bob Williams,2026-02-06
14,Cable HDMI,Accessories,500,12.99,6495.00,South,Frank Wilson,2026-02-08
15,RAM 32GB,Memory,80,129.99,10399.20,North,Eve Davis,2026-02-10
16,CPU Cooler,Hardware,40,89.99,3599.60,West,Grace Miller,2026-02-12
17,Power Supply,Hardware,60,119.99,7199.40,East,Henry Moore,2026-02-14
18,Capture Card,Video,25,249.99,6249.75,South,Iris Taylor,2026-02-16
19,Speaker Desk,Audio,95,159.99,15199.05,North,Jack Anderson,2026-02-18
20,Adapter USB-C,Accessories,350,19.99,6996.50,West,Alice Johnson,2026-02-20
21,Widget Elite,Hardware,35,499.99,17499.65,East,Carol Smith,2026-03-03
22,NVMe 2TB,Storage,70,189.99,13299.30,North,Bob Williams,2026-03-05
23,Monitor Curve,Display,20,799.99,15999.80,West,Frank Wilson,2026-03-07
24,Deskpad XL,Accessories,180,39.99,7198.20,South,Eve Davis,2026-03-09
25,RAM 64GB,Memory,45,229.99,10349.55,East,Grace Miller,2026-03-11
